id,CodOpe,correo,nodeseado
1,1,pruebas@mnprogram.es,False
2,1,alejandrogarcia@garcia.es,False
3,1,cristinaramos@quiros.es,False
4,1,juanperez@dacosta.com,False
5,1,mariacanosa@mariacanosa.es,False
6,1,robertoiglesias@crisol.com,False
7,1,jorgemartinez@dios.com,False
8,1,smithbridges@smithbridges.com,False
9,1,albertoloriga@alberto.com,False
10,1,luciamosteiro@mnprogram.com,False
11,1,instaclinicas@mnprogram.net,False
12,1,democlinicas@mnprogram.net,False
13,1,alejandrogarcia@garcia.com,False
14,1,nereafernandez@mnprogram.com,False
